Nama,Tanggal_Lahir,Tinggi_Badan,Username,Password,Role,Saldo,Gold
Bambang,01/01/2000,180,bambang111,naruto00,Pemain,200000,
Ayu,02/02/1994,164,ayu222,yoyotow,Pemain,200000,
Nisa,03/03/1992,171,nisa333,nisadangdut,Pemain,200000,
Dwi,04/04/2003,146,dwi444,dwidigidaw,Pemain,200000,
Taufan,05/05/1999,152,taufan555,angintaufan2,Pemain,200000,
Salsa,06/06/2001,162,salsa666,ss4lsa,Pemain,200000,
Salwa,07/07/2006,145,salwa777,wal4sa,Pemain,150000,
Daffa,08/08/2001,180,daffa888,candy123,Pemain,300000,
Hariyo,09/09/2002,199,hariyo999,popcorn2,Admin,0,
Gilang,10/10/2010,135,gilang000,gading222,Admin,0,
Seril,09/12/2000,155,seril123,seril2000,Pemain,50000,
cantika,23/02/1999,154,cantikamaria,cantik999,Pemain,125000,
ardan,09/03/2007,167,ardangading,gading123,Admin,0,
gabriel,02/05/2008,192,gabrielll,yuhuuuu,Pemain,400000,
dina,10/10/2010,182,dindina,masasih12,Admin,0,
emil,23/02/1997,145,milemil,apawebebas,Pemain,100000,
bela,04/04/2001,156,belacantika,bela12345,Pemain,70000,
refki,15/07/2000,163,refkiaja,refrefref,Pemain,300000,
rinal,29/03/2000,174,rinalee,5678rinal,Pemain,90000,
ana,22/07/2001,173,ana789,heiana123,Pemain,50000,
